Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0085307	45	7	19	151	48	67	23	10	27	77	66	83	47.78	20	75	3.71	1.891	4.144	3.41062568841357e-05	0.000826209621214423	0.0312	0.1624	0.1159	0.1159	TRUE	NA
FBtr0302548	237	87	49	643	144	209	123	130	69	328	198	259	184.56	107	262	2.427	1.279	4.132	3.5976322461777e-05	0.000870281955630376	0.0617	0.0613	0.0614	0.0614	TRUE	NA
FBtr0072679	6159	2389	2555	8325	3724	4118	3187	3579	3599	4251	5114	5109	4139.8	3455	4825	1.393	0.478	4.116	3.86159597429562e-05	0.000930199895437419	4e-04	0.0275	0.0095	0.0095	TRUE	NA
FBtr0080979	966	338	376	1492	565	631	500	506	530	762	776	783	642.74	512	774	1.511	0.596	4.113	3.90381540538603e-05	0.000937735826579492	0	0.0361	0.0134	0.0134	TRUE	NA
FBtr0086697	520	163	247	952	369	486	269	244	348	486	507	603	409.49	287	532	1.85	0.887	4.112	3.92499178753461e-05	0.000941503974097988	0.021	0.0418	0.0307	0.0307	TRUE	NA
FBtr0343606	350	312	361	633	733	583	181	467	508	323	1007	723	535.01	385	684	1.776	0.828	4.108	3.9861651757914e-05	0.000954842443156401	0.0182	0.0381	0.0271	0.0271	TRUE	NA
FBtr0072141	2535	1012	1180	3653	1649	1937	1312	1516	1662	1865	2264	2403	1837.14	1497	2177	1.452	0.538	4.108	3.99426634094321e-05	0.000955448563647378	0.0012	0.0295	0.0118	0.0118	TRUE	NA
FBtr0084868	88	14	41	189	133	157	46	21	58	97	183	195	99.7	42	158	3.595	1.846	4.105	4.03872091288651e-05	0.000964736801906915	0.1832	0.0913	0.1298	0.1298	TRUE	NA
FBtr0273275	147	36	44	366	78	129	76	54	62	187	107	160	107.67	64	151	2.362	1.24	4.097	4.18122526154092e-05	0.00099324369059125	0.0218	0.0865	0.0534	0.0534	TRUE	NA
FBtr0081544	277	73	127	535	225	257	143	109	179	273	309	319	222.1	144	300	2.076	1.053	4.094	4.23378047457972e-05	0.00100045986174464	0.0273	0.0553	0.0422	0.0422	TRUE	NA
FBtr0091533	290	78	73	462	187	202	150	117	103	236	257	251	185.51	123	248	2.006	1.005	4.094	4.2349359199266e-05	0.00100045986174464	0.0145	0.0611	0.0367	0.0367	TRUE	NA
FBtr0304989	80	20	22	267	55	55	41	30	31	136	76	68	63.74	34	93	2.696	1.431	4.091	4.30168257028271e-05	0.00101343623300713	0.0106	0.1283	0.0647	0.0647	TRUE	NA
