"ID"	"S2_DRSC_CG8144_RNAi_1"	"S2_DRSC_CG8144_RNAi_3"	"S2_DRSC_CG8144_RNAi_4"	"S2_DRSC_Untreated_1"	"S2_DRSC_Untreated_3"	"S2_DRSC_Untreated_4"
"FBtr0072921"	"290.708305358583"	"242.484757893818"	"207.374875884381"	"92.7824426128226"	"244.376128464788"	"64.1126491199302"
"FBtr0072922"	"179.275311695228"	"314.104242553083"	"235.083302571585"	"304.544227622691"	"149.708622167511"	"321.368228366838"
"FBtr0072923"	"188.692938777766"	"159.942698372519"	"221.777053439901"	"177.03660565928"	"194.292091749189"	"141.045696532635"
"FBtr0344219"	"127.716104973773"	"93.2460348393522"	"101.299711466143"	"74.8460072346462"	"113.387236847272"	"94.2513631965942"
"FBtr0321286"	"26.2026896929766"	"4.61881187553456"	"19.3664350491315"	"0"	"4.61240094532907"	"18.3861975536043"
"FBtr0078279"	"139.374748333575"	"167.632469575343"	"147.04885284161"	"156.309753868552"	"138.100542713118"	"143.472926008269"
"FBtr0077798"	"109.780134078268"	"106.262809475935"	"108.053734345329"	"143.482032121343"	"129.601905590479"	"159.236049423493"
"FBtr0077796"	"47.5069146353399"	"65.1694315980163"	"23.7910634770866"	"71.2983585791763"	"73.9665920201193"	"70.4493704909322"
"FBtr0077794"	"691.946932975159"	"922.887263423699"	"890.785588642782"	"1089.20644195394"	"1007.13342805687"	"816.566325776309"
"FBtr0330669"	"28.5900622326309"	"72.4598730208673"	"34.8428337989824"	"56.2810006113515"	"29.4686511380357"	"28.5771282983034"
"FBtr0077797"	"474.440286518194"	"287.534154703718"	"309.987234637921"	"179.157278155503"	"329.382132927512"	"320.199097280593"
"FBtr0330668"	"251.82620302306"	"300.83358059398"	"233.813729950906"	"397.766621285108"	"267.779152040684"	"426.599395536899"
"FBtr0330670"	"7.79694871240139"	"14.3603423087615"	"32.5965191542073"	"41.9231050342788"	"14.3540842793531"	"40.2803010077837"
"FBtr0077795"	"502.891620787767"	"395.062863254637"	"642.23213671724"	"604.131067254779"	"612.53533798259"	"624.766933178362"
"FBtr0077793"	"232.55885311091"	"145.491285866142"	"173.897354801266"	"172.247362630665"	"196.808426131124"	"225.223535512837"
"FBtr0100383"	"127.005785222135"	"118.396116069562"	"131.120737992782"	"116.550327259436"	"117.480937608577"	"126.577521882454"
