"ID","S2_DRSC_Untreated_1","S2_DRSC_Untreated_3","S2_DRSC_Untreated_4","S2_DRSC_CG8144_RNAi_1","S2_DRSC_CG8144_RNAi_3","S2_DRSC_CG8144_RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0339081",125.771540782539,120.851675481141,120.051782521752,6.44776572337118,12.9786700994809,12.0175734163799,9.64169460671512e-15,-5.11890499232399,6.16200844041358e-19,0.0287776981105015,14.0158466285799
"FBtr0087533",4427.37259219741,4490.2161341586,4710.30490527235,2285.15791632555,2174.30205490941,2186.42211126154,2.24595388894968e-24,-1.49496381472372,1.43538946056732e-28,0.354789737676149,23.6485991643614
"FBtr0084659",449.041854997523,432.466484750242,451.455756549324,214.00786027492,204.902779872815,241.238213632197,1.20961642765389e-05,-1.4646767212006,7.73066036718789e-10,0.362316717396466,4.91735232370217
"FBtr0330730",1317.50443282186,1882.88609732107,1317.06752836778,698.662940637572,565.105926366868,404.064879500518,0.00133226970846364,-2.07485882142165,8.51453766513479e-08,0.237358756443651,2.87540784645677
"FBtr0079491",31795.6353354324,30162.085292246,30345.9428807842,14705.6521447387,17370.4085320741,15460.3500980709,3.64541991204605e-13,-1.38128091903368,2.32978840163997e-17,0.38387781213717,12.4382524385447
"FBtr0087789",155.626044314594,175.681806532075,174.084256215539,61.5794567392416,46.6781417304043,51.9072539005191,4.84963629298293e-06,-2.40599333813609,3.09940326770814e-10,0.188679117317597,5.31429083085619
"FBtr0290019",2714.97019003363,2969.01223714066,3010.82382164207,1125.40962134964,849.555136497204,940.395386038271,5.39575035114671e-23,-2.27489072203448,3.44842484255558e-27,0.206628230148575,22.2679481523336
"FBtr0330269",187.001381777415,138.59339406271,162.951950563193,35.4941172214347,58.971849396476,57.8886637487418,0.00804411246238078,-2.43298810863287,5.14099345713605e-07,0.185181501098773,2.09452186628887
"FBtr0332529",1107.92027172284,1306.70626749736,1246.36883309087,670.205210478311,536.944195188117,584.957590692691,2.8779375859925e-08,-1.48706177737159,1.83929033424458e-12,0.356738350276951,7.54091862886813
"FBtr0330118",150.795854973676,174.917335306689,186.571802934604,70.9124107281366,46.9361945293127,45.9603079533209,0.00136694951174786,-2.37450579817329,8.73617633890111e-08,0.192842400914919,2.86424752579372
"FBtr0301504",1340.55725688804,1410.85521874994,1091.2976794859,688.048807782738,758.866153599423,799.472750110221,0.0050163014992939,-1.11761364262653,3.2059190255601e-07,0.460855494839734,2.29961636859987
"FBtr0079077",112.374145817115,118.126405227764,125.456728673666,42.7538482296124,34.3121289899578,36.0224525751733,0.000135180979416137,-2.38684749404625,8.63941838155152e-09,0.191199745214719,3.86908441132142
"FBtr0300599",505.755659802523,437.348936947684,593.361846704054,159.597809725351,126.864081201811,165.414743501396,4.19375394655027e-11,-2.54905517221906,2.68022876369289e-15,0.170866896995923,10.377397053792
"FBtr0343424",206.056781887442,214.271050701679,217.21326939359,103.173759502244,93.0735098322637,88.4135528910544,0.000518514807352744,-1.68415519888337,3.31382889597204e-08,0.311185081101774,3.28523883684531
"FBtr0302615",605.623501994543,481.374864530166,744.291787858873,48.856565035737,50.9404753227889,49.9222746886527,2.37482285941496e-36,-5.21232351230641,1.51774963853452e-40,0.0269733119874335,35.6243687793224
"FBtr0088996",530.35679149486,488.797790998617,627.155117892278,247.073849009008,289.869931709037,216.45278970279,0.000473161551636919,-1.63084720407485,3.02397617202607e-08,0.32289853396931,3.32499055269654
"FBtr0077645",1962.66579716169,2124.70066421531,2130.66717142319,313.945066971698,235.91282154273,168.957112021539,5.87418624481794e-31,-4.49666383474347,3.7541932925276e-35,0.0442964890519419,30.2310522880116
"FBtr0335024",4146.33962725656,4582.61952649087,3062.30343296711,318.093864733701,760.152468174203,532.756558746811,1.0179473810947e-10,-4.14450953705491,6.50570320888794e-15,0.0565429303351208,9.99227467061501
"FBtr0081352",351.996518140104,521.138389222931,369.390587166879,165.169602374869,81.7201020321759,98.9229910041631,0.00338000180244114,-2.66261130236503,2.16015964877685e-07,0.157933453167538,2.47108306812766
"FBtr0081354",577.390463419298,669.43159118053,494.378849980979,286.850023373499,312.9871491587,269.918175478971,0.00209493468415362,-1.44617892433306,1.33887306458339e-07,0.366992141491445,2.67882951291433
"FBtr0079042",176.700065997234,159.802086425024,191.207547395524,76.4151663244875,75.9104662912854,77.5802043882479,0.00487231333571201,-1.72889144870182,3.11389616904967e-07,0.301683678367497,2.31226479024484
"FBtr0072956",6011.34651396693,7158.37281518394,5872.98817549247,1523.11253088921,1130.78376360179,1235.26006416851,5.75984509094421e-37,-3.30642607915484,3.68111784427955e-41,0.101080311525613,36.2395891966207
"FBtr0304995",1140.90769353031,1322.43805614091,1265.20382890825,748.417720793988,488.592641269107,600.644562264249,0.00186734211441971,-1.47380775308303,1.19341861981192e-07,0.360030802483925,2.72877610797842
